states,districts,delta_confirmed,delta_deceased,delta_recovered,delta_tested,delta_vaccinated1,delta_vaccinated2,delta_population,delta21_14_confirmed,delta21_14_deceased,delta21_14_recovered,delta21_14_tested,delta21_14_vaccinated1,delta21_14_vaccinated2,delta21_14_population,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_population,meta_confirmed,meta_deceased,meta_recovered,meta_tested,meta_vaccinated1,meta_vaccinated2,meta_population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_population,,,,,,,,,
AR,Papum Pare,1,,1,,,,1,22,,,,,,22,7,,12,,1055,3799,7,,,,28-01-2021,,,176385,18316,98,18212,41960,141168,100258,30,,,,,,,,,
AR,Shi Yomi,,,,,,,,3,,,,,,3,1,,10,,2,153,1,,,,28-01-2021,,,13310,262,,261,2169,6910,5663,4,,,,,,,,,
AR,Siang,,,,,,,,,,,,,,,,,,,40,197,,,,,28-01-2021,,,31920,411,3,408,4270,14408,9068,0,,,,,,,,,
AR,Tawang,,,,,,,,12,,,,,,12,12,,8,,91,759,12,,,,28-01-2021,,,49950,2577,20,2533,14224,29553,23287,24,,,,,,,,,
AR,Tirap,,,,,,,,,,,,,,,,,2,,35,631,,,,,28-01-2021,,,111997,1109,5,1102,14657,31565,21200,0,,,,,,,,,
AR,Upper Dibang Valley,,,,,,,,1,,,,,,1,,,1,,3,11,,,,,28-01-2021,,,7948,337,2,335,1910,4156,2603,1,,,,,,,,,
AR,Upper Siang,,,,,,,,2,,,,,,2,,,2,,38,411,,,,,28-01-2021,,,35289,1016,1,1015,6564,18594,13671,2,,,,,,,,,
AR,Upper Subansiri,,,,,,,,,,,,,,,,,,,93,1122,,,,,28-01-2021,,,83205,1958,6,1952,6217,24842,16390,0,,,,,,,,,
AR,West Kameng,,,7,,15,89,,17,,,,,,17,1,,21,,206,1914,1,,,,28-01-2021,,,87013,3545,14,3518,28155,55710,40321,18,,,,,,,,,
AR,West Siang,,,-5,,,,,4,,,,,,4,,,3,,63,640,,,,,28-01-2021,,,112272,1868,6,1856,13192,33773,27867,4,,,,,,,,,
AS,Udalguri,,,,,1935,1396,,,,,,,,,,,,,17371,19343,,,,,16-09-2020,,,832769,,,,24661,504439,133919,0,,,,,,,,,
AS,Baksa,,,,,39,172,,,,,,,,,,,,,2992,15169,,,,,28-01-2021,,,953773,,,,,553967,136574,0,,,,,,,,,
AS,Barpeta,,,,,369,1035,,,,,,,,,,,,,10495,48544,,,,,28-01-2021,,,1693190,,,,,1095048,448006,0,,,,,,,,,
AS,Biswanath,,,,,507,1655,,,,,,,,,,,,,5661,35727,,,,,28-01-2021,,,612491,,,,,456088,213437,0,,,,,,,,,
AS,Bongaigaon,,,,,85,1287,,,,,,,,,,,,,2784,18356,,,,,29-01-2021,,,732639,,,,,493242,183782,0,,,,,,,,,
AS,Cachar,,,,,2149,966,,,,,,,,,,,,,26826,21591,,,,,29-01-2021,,,1736319,,,,,1101266,402535,0,,,,,,,,,
AS,Charaideo,,,,,3,26,,,,,,,,,,,,,1853,16868,,,,,29-01-2021,,,,,,,,309125,111219,0,,,,,,,,,
AS,Chirang,,,,,22,89,,,,,,,,,,,,,2488,9573,,,,,29-01-2021,,,481818,,,,,288696,102397,0,,,,,,,,,
AS,Darrang,,,,,365,270,,,,,,,,,,,,,17453,21800,,,,,30-01-2021,,,908090,,,,,596783,183724,0,,,,,,,,,
AS,Dhemaji,,,,,55,47,,,,,,,,,,,,,3423,15318,,,,,31-01-2021,,,688077,,,,,431792,184251,0,,,,,,,,,
AS,Dhubri,,,,,1042,1906,,,,,,,,,,,,,12450,25644,,,,,02/01/2021,,,1948632,,,,,945264,229696,0,,,,,,,,,
AS,Dibrugarh,,,,,699,4007,,,,,,,,,,,,,8869,38695,,,,,02/01/2021,,,1327748,,,,301657,914640,430800,0,,,,,,,,,
AS,Dima Hasao,,,,,160,59,,,,,,,,,,,,,2532,3737,,,,,02/01/2021,,,213529,,,,,116318,62593,0,,,,,,,,,
AS,Goalpara,,,,,47,81,,,,,,,,,,,,,4013,30725,,,,,02/01/2021,,,1008959,,,,,662016,195521,0,,,,,,,,,
AS,Golaghat,,,,,504,2676,,,,,,,,,,,,,6525,51417,,,,,02/01/2021,,,1058674,,,,,711564,306745,0,,,,,,,,,
AS,Hailakandi,,,,,88,705,,,,,,,,,,,,,1724,11247,,,,,02/01/2021,,,659260,,,,,422295,146888,0,,,,,,,,,
AS,Hojai,,,,,512,2979,,,,,,,,,,,,,6217,36724,,,,,02/01/2021,,,931218,,,,,602504,274035,0,,,,,,,,,
AS,Jorhat,,,,,225,2154,,,,,,,,,,,,,3383,39677,,,,,02/01/2021,,,1091295,,,,,649267,297724,0,,,,,,,,,
AS,Kamrup,,,,,231,253,,,,,,,,,,,,,10451,45828,,,,,02/01/2021,,,1517202,,,,,1079092,409628,0,,,,,,,,,
AS,Kamrup Metropolitan,,,,,359,1713,,,,,,,,,,,,,6625,38155,,,,,02/01/2021,,,1260419,,,,,1246239,875897,0,,,,,,,,,
AS,Karbi Anglong,,,,,342,280,,,,,,,,,,,,,13744,12778,,,,,02/01/2021,,,965280,,,,,284600,102798,0,,,,,,,,,
AS,Karimganj,,,,,331,1382,,,,,,,,,,,,,5088,20659,,,,,02/01/2021,,,1217002,,,,,681216,203575,0,,,,,,,,,
AS,Kokrajhar,,,,,162,823,,,,,,,,,,,,,3935,19711,,,,,02/01/2021,,,886999,,,,,538901,156488,0,,,,,,,,,
AS,Lakhimpur,,,,,148,1555,,,,,,,,,,,,,5870,42164,,,,,02/01/2021,,,1040644,,,,,681386,301369,0,,,,,,,,,
AS,Majuli,,,,,36,166,,,,,,,,,,,,,1524,7176,,,,,02/01/2021,,,167304,,,,,117599,82507,0,,,,,,,,,
AS,Morigaon,,,,,264,482,,,,,,,,,,,,,5298,27861,,,,,02/01/2021,,,957853,,,,,592446,212146,0,,,,,,,,,
AS,Nagaon,,,,,758,1481,,,,,,,,,,,,,16396,36734,,,,,02/01/2021,,,2826006,,,,,1203831,448081,0,,,,,,,,,
AS,Nalbari,,,,,388,1492,,,,,,,,,,,,,6785,25411,,,,,02/01/2021,,,769919,,,,,483076,168392,0,,,,,,,,,
AS,Sivasagar,,,,,46,714,,,,,,,,,,,,,1946,23104,,,,,02/01/2021,,,1150253,,,,,478954,223921,0,,,,,,,,,
AS,Sonitpur,,,,,448,2664,,,,,,,,,,,,,8341,48290,,,,,02/01/2021,,,1925975,,,,,767841,434213,0,,,,,,,,,
AS,South Salmara Mankachar,,,,,260,1288,,,,,,,,,,,,,1978,15304,,,,,02/01/2021,,,555114,,,,,239906,76599,0,,,,,,,,,
AS,Tinsukia,,,,,6637,1679,,,,,,,,,,,,,45002,22410,,,,,02/01/2021,,,1316948,,,,,795057,286170,0,,,,,,,,,
AS,Unknown,212,1,236,,,,212,1499,,,,,,1499,2056,24,2215,,,,2056,,,,02/01/2021,,,,610645,5997,600974,,,,3767,,,,,,,,,
AS,West Karbi Anglong,,,,,312,147,,,,,,,,,,,,,4593,4186,,,,,,,,300320,,,,,127612,42942,0,,,,,,,,,
BR,Begusarai,,,1,,1906,2774,,8,,,,,,8,2,,7,,33903,65735,2,,,,26-09-2020,,,2954367,27212,457,26754,213670,1430906,480982,10,,,,,,,,,
BR,Araria,,,,,5177,3067,,,,,,,,,2,,,,51331,69085,2,,,,10/03/2020,,,2806200,14978,116,14859,219221,1177154,395227,2,,,,,,,,,
BR,Khagaria,,,,,881,2118,,,,,,,,,,,,,15402,32372,,,,,10/04/2020,,,1657599,10064,88,9976,148340,775019,222012,0,,,,,,,,,
BR,East Champaran,,,,,2434,8014,,1,,,,,,1,2,,,,29316,84760,2,,,,11/03/2020,,,5082868,19017,430,18585,548132,2498559,1002939,3,,,,,,,,,
BR,Nawada,,,,,4176,4338,,,,,,,,,1,,,,46619,35295,1,,,,16-11-2020,,,2216653,10353,178,10174,322514,1062349,274319,1,,,,,,,,,
BR,Sheohar,,,,,666,1629,,,,,,,,,,,2,,2946,7111,,,,,16-11-2020,,,656916,4404,36,4368,199431,300967,108766,0,,,,,,,,,
BR,Purnia,,,,,2821,1959,,,,,,,,,,,,,61212,74531,,,,,01/05/2021,,,3273127,24427,180,24247,568756,1603099,729224,0,,,,,,,,,
BR,Darbhanga,,,,,2858,5306,,,,,,,,,,,1,,39165,82276,,,,,01/11/2021,,,3921971,10937,370,10567,448442,1869372,741553,0,,,,,,,,,
BR,Arwal,,,,,262,1360,,,,,,,,,,,,,4059,17125,,,,,31-01-2021,,,700843,7381,74,7307,101624,345175,116424,0,,,,,,,,,
BR,Aurangabad,,,,,1264,2657,,,,,,,,,,,,,25561,56431,,,,,31-01-2021,,,2511243,20011,75,19936,412007,1132482,407913,0,,,,,,,,,
BR,Banka,,,,,2635,3138,,,,,,,,,,,,,24239,34077,,,,,31-01-2021,,,2029339,7379,112,7267,364776,935177,351254,0,,,,,,,,,
BR,Bhagalpur,,,1,,2122,3458,,1,,,,,,1,1,,1,,49875,78088,1,,,,31-01-2021,,,3032226,25840,309,25531,582113,1494951,650332,2,,,,,,,,,
BR,Bhojpur,,,,,3232,4879,,,,,,,,,,,,,31626,53006,,,,,31-01-2021,,,2720155,10210,159,10051,466438,1291186,382719,0,,,,,,,,,
BR,Buxar,,,,,1083,2516,,,,,,,,,,,,,14794,38792,,,,,31-01-2021,,,1707643,9248,182,9066,461428,907374,322555,0,,,,,,,,,
BR,Gaya,,,,,1708,1689,,1,,,,,,1,,,1,,72504,82490,,,,,31-01-2021,,,4379383,33952,280,33672,872359,1925234,722746,1,,,,,,,,,
BR,Gopalganj,,,,,5308,8468,,,,,,,,,,,1,,31750,70093,,,,,31-01-2021,,,2558037,16685,94,16591,562654,1286763,481968,0,,,,,,,,,
BR,Jamui,,,,,1435,1416,,,,,,,,,,,1,,24440,24005,,,,,31-01-2021,,,1756078,9418,106,9312,342005,800488,222093,0,,,,,,,,,
BR,Jehanabad,,,,,498,1617,,,,,,,,,,,,,12986,27200,,,,,31-01-2021,,,1124176,10783,109,10674,492255,498448,184446,0,,,,,,,,,
BR,Kaimur,,,,,1067,2183,,,,,,,,,,,,,19996,28681,,,,,31-01-2021,,,1626900,4984,147,4837,442332,801438,225437,0,,,,,,,,,
BR,Katihar,,,,,2680,2966,,,,,,,,,,,1,,53448,75733,,,,,31-01-2021,,,3068149,18145,94,18051,556438,1451838,403046,0,,,,,,,,,
BR,Kishanganj,3,,1,,1997,1445,3,,,,,,,,4,,2,,24597,25592,4,,,,31-01-2021,,,1690948,10128,66,10057,294321,757066,205274,7,,,,,,,,,
BR,Lakhisarai,,,,,595,1005,,,,,,,,,,,,,8894,16437,,,,,31-01-2021,,,1000717,7776,102,7674,332434,461970,138407,0,,,,,,,,,
BR,Madhepura,,,,,2700,4459,,1,,,,,,1,1,,,,28832,43563,1,,,,31-01-2021,,,1994618,12547,111,12435,455482,965767,260408,2,,,,,,,,,
BR,Madhubani,2,,,,2735,6686,2,,,,,,,,3,,,,28535,69785,3,,,,31-01-2021,,,4476044,18365,339,18023,715168,1974159,680214,5,,,,,,,,,
BR,Munger,,,,,851,2867,,1,,,,,,1,,,1,,7445,33005,,,,,31-01-2021,,,1359054,15111,158,14953,325212,707588,264665,1,,,,,,,,,
BR,Muzaffarpur,,,,,3545,7023,,,,,,,,,,,1,,40686,80513,,,,,31-01-2021,,,4778610,31398,621,30777,722651,2253919,717015,0,,,,,,,,,
BR,Nalanda,,,,,2168,1826,,,,,,,,,,,,,36716,66091,,,,,31-01-2021,,,2872523,23432,468,22964,591346,1393762,638181,0,,,,,,,,,
BR,Patna,2,,3,,737,2024,2,14,,,,,,14,14,,8,,35436,159875,14,,,,31-01-2021,,,5772804,147007,2334,144651,676238,3421614,2366474,30,,,,,,,,,
BR,Rohtas,,,,,4911,4149,,,,,,,,,2,,,,40918,59698,2,,,,31-01-2021,,,2962593,13980,271,13707,521553,1498172,465660,2,,,,,,,,,
BR,Saharsa,,,,,28493,18126,,,,,,,,,,,,,106392,80718,,,,,31-01-2021,,,1897102,17616,134,17482,356327,995618,366567,0,,,,,,,,,
BR,Samastipur,1,,1,,3216,5157,1,1,,,,,,1,2,,2,,48167,64119,2,,,,31-01-2021,,,4254782,20020,155,19864,614569,1991102,555728,4,,,,,,,,,
BR,Saran,,,2,,4149,6693,,,,,,,,,5,,2,,41734,82407,5,,,,31-01-2021,,,3943098,23278,255,23020,761473,1868014,736766,5,,,,,,,,,
BR,Sheikhpura,,,,,345,788,,,,,,,,,,,,,4942,10739,,,,,31-01-2021,,,634927,7693,75,7618,142348,287209,95322,0,,,,,,,,,
BR,Sitamarhi,,,,,3873,5476,,1,,,,,,1,,,,,43474,60677,,,,,31-01-2021,,,3419622,9185,127,9058,453227,1511464,424182,1,,,,,,,,,
BR,Siwan,,,,,1163,4030,,,,,,,,,,,,,18385,69069,,,,,31-01-2021,,,3318176,15195,170,15025,536438,1670590,684755,0,,,,,,,,,
BR,Supaul,,,,,3029,5131,,1,,,,,,1,,,,,35486,71754,,,,,31-01-2021,,,2228397,17222,129,17093,456511,1069993,369925,1,,,,,,,,,
BR,Vaishali,,,,,1522,2621,,,,,,,,,1,,,,45426,59038,1,,,,31-01-2021,,,3495021,19827,192,19632,275884,1671469,478638,1,,,,,,,,,
BR,West Champaran,,,,,7525,6316,,,,,,,,,,,,,42709,52019,,,,,31-01-2021,,,3935042,20890,358,20532,551778,1784016,469332,0,,,,,,,,,
CH,Chandigarh,5,,3,1403,211,1282,5,23,,,,,,23,28,,20,10726,3680,21641,28,,,,31-10-2021,,,1055450,65351,820,64495,792851,926035,546981,56,,,,,,,: ,https://t.me/Covid19india_Auxiliary_Test_Data/11877,}
CT,Bastar,2,,2,,82,129,2,,,,,,,,24,,2,,10696,9616,24,,,,23-05-2020,,,1302253,21066,188,20845,4522,443759,178775,26,,,,,,,,,
CT,Balod,,,,,523,762,,3,,,,,,3,2,,1,,5983,9451,2,,,,14-06-2020,,,826165,27278,396,26880,2749,537459,271570,5,,,,,,,,,
CT,Baloda Bazar,,,1,,953,605,,1,,,,,,1,,,3,,25353,17419,,,,,14-06-2020,,,1305343,43085,471,42611,3816,617777,211945,1,,,,,,,,,
CT,Bametara,1,,,,25,25,1,1,,,,,,1,1,,,,14367,7690,1,,,,14-06-2020,,,197035,19963,236,19726,3113,405388,132925,3,,,,,,,,,
CT,Bijapur,3,,1,,47,56,3,6,,,,,,6,5,,3,,1251,913,5,,,,14-06-2020,,,229832,8324,55,8263,1239,103247,44245,14,,,,,,,,,
CT,Bilaspur,1,,3,,2404,9113,1,12,,,,,,12,17,2,8,,18318,50320,17,,,,14-06-2020,,,1961922,65681,1210,64448,9823,1031494,525066,30,,,,,,,,,
CT,Dakshin Bastar Dantewada,1,,,,143,1299,1,4,,,,,,4,6,,2,,2225,5410,6,,,,14-06-2020,,,533638,10840,25,10809,1168,158243,80855,11,,,,,,,,,
CT,Dhamtari,,,2,,1,18,,2,,,,,,2,2,,2,,6188,7319,2,,,,14-06-2020,,,799199,27239,545,26690,1501,509782,224591,4,,,,,,,,,
CT,Durg,4,,6,,468,908,4,19,,,,,,19,26,1,18,,17012,22719,26,,,,14-06-2020,,,3343079,96880,1798,95028,5020,1012391,525445,49,,,,,,,,,
CT,Gariaband,,,,,440,153,,,,,,,,,1,,,,9982,5872,1,,,,14-06-2020,,,597653,19701,194,19506,2096,293987,99137,1,,,,,,,,,
CT,Gaurela Pendra Marwahi,1,,,,257,297,1,,,,,,,,1,,,,4045,4587,1,,,,14-06-2020,,,,12011,146,11864,273,189474,79788,2,,,,,,,,,
CT,Janjgir Champa,2,,4,,1722,1341,2,9,,,,,,9,19,1,8,,45568,30991,19,,,,14-06-2020,,,1620632,57636,838,56766,4016,896087,317605,30,,,,,,,,,
CT,Jashpur,,,3,,187,383,,6,,,,,,6,10,,6,,10933,13098,10,,,,14-06-2020,,,852043,27093,212,26867,2542,435884,182747,16,,,,,,,,,
CT,Kabeerdham,,,,,1128,1288,,,,,,,,,1,,,,17511,17876,1,,,,14-06-2020,,,584667,22771,267,22503,2829,402362,173494,1,,,,,,,,,
CT,Kondagaon,,,,,243,184,,2,,,,,,2,4,,1,,8359,7999,4,,,,14-06-2020,,,578326,13139,99,13036,1607,317695,100468,6,,,,,,,,,
CT,Korba,5,,2,,1086,1126,5,13,,,,,,13,23,,11,,24033,24911,23,,,,14-06-2020,,,1206563,54847,580,54228,10034,650457,287588,41,,,,,,,,,
CT,Koriya,,1,,,2370,346,,1,,,,,,1,6,1,,,15621,5751,6,,,,14-06-2020,,,659039,26980,177,26798,2689,375503,128177,7,,,,,,,,,
CT,Mahasamund,,,,,159,6309,,2,,,,,,2,,,1,,4416,72466,,,,,14-06-2020,,,1032275,31365,365,31000,2183,738333,428365,2,,,,,,,,,
CT,Mungeli,,,,,1330,981,,2,,,,,,2,1,,2,,15254,12880,1,,,,14-06-2020,,,701707,23921,167,23753,2922,282508,109857,3,,,,,,,,,
CT,Narayanpur,,,,,1075,903,,1,,,,,,1,,,1,,3057,1858,,,,,14-06-2020,,,140206,4019,14,4005,804,53032,19468,1,,,,,,,,,
CT,Raigarh,2,,4,,752,6265,2,10,,,,,,10,8,,8,,5114,122838,8,,,,14-06-2020,,,1493627,62590,978,61597,5084,1074306,967326,20,,,,,,,,,
CT,Raipur,9,,3,,789,3193,9,15,,,,,,15,33,,15,,10441,40794,33,,,,14-06-2020,,,4062160,158035,3139,154852,12704,1557999,915437,57,,,,,,,,,
CT,Sukma,,,1,,140,77,,3,,,,,,3,1,,4,,3208,5401,1,,,,14-06-2020,,,249000,8066,20,8041,1723,134654,81437,4,,,,,,,,,
CT,Surajpur,,,,,442,322,,1,,,,,,1,,,,,13506,13873,,,,,14-06-2020,,,660280,29029,224,28805,1830,419247,163526,1,,,,,,,,,
CT,Uttar Bastar Kanker,,,,,995,645,,4,,,,,,4,3,,1,,17930,14621,3,,,,14-06-2020,,,748593,23636,224,23407,2051,405744,171484,7,,,,,,,,,
CT,Balrampur,,,,,1654,725,,,,,,,,,,,,,21912,17709,,,,,20-09-2020,,,598855,20302,118,20182,21481,305554,112777,0,,,,,,,,,
CT,Rajnandgaon,,,,,596,650,,2,,,,,,2,5,,3,,15753,25270,5,,,,11/09/2020,,,1537520,56077,515,55557,124947,1028876,530711,7,,,,,,,,,
CT,Surguja,,,,,1831,1834,,2,,,,,,2,2,,,,29827,33226,2,,,,18-11-2020,,,420661,33673,245,33426,103578,468885,277031,4,,,,,,,,,
CT,Other State,1,,,,,,1,3,,,,,,3,4,,3,,,,4,,,,18-11-2020,,,,805,131,666,,,,8,,,,,,,,,
DL,Delhi,45,,46,56751,12482,11839,45,195,,,,,,195,267,,239,395086,160323,269146,267,,,,31-10-2021,,,19814000,1439870,25091,1414431,29427753,13055636,7425404,507,,,,,,,: ,https://t.me/Covid19india_Auxiliary_Test_Data/11885,}
DN,Dadra and Nagar Haveli,,,,,3,18,,2,,,,,,2,,,,,870,6759,,,,,20-10-2020,,,343709,5920,3,5910,44813,387772,183553,2,,,,,,,,,
DN,Daman,,,1,,,,,2,,,,,,2,,,2,,1880,6793,,,,,20-10-2020,,,191173,3543,1,3516,19338,234202,155547,2,,,,,,,,,
DN,Diu,,,,,,,,,,,,,,,,,,,52,690,,,,,20-10-2020,,,52074,1218,,1218,8259,38779,31153,0,,,,,,,,,
GA,North Goa,,,,,1070,5967,,,,,,,,,,,,,4007,23958,,,,,20-10-2020,,,817761,,,,,600586,424066,0,,,,,,,,,
GA,South Goa,,,,,1492,6405,,,,,,,,,,,,,4401,22504,,,,,20-10-2020,,,639962,,,,,661972,487016,0,,,,,,,,,
GA,Unknown,23,,53,,,,23,409,,,,,,409,222,6,409,,,,222,,,,20-10-2020,,,,178108,3364,174392,,,,654,,,,,,,,,
GJ,Other State,,,,,,,,,,,,,,,,,,,,,,,,,27-06-2020,,,,162,3,159,108,,,0,,,,,,,,,
GJ,Ahmedabad,4,,2,,1765,11394,4,29,,,,,,29,22,,14,,47316,169891,22,,,,02/02/2021,,,7208200,238334,3411,234889,2556492,5961594,3439921,55,,,,,,,,,
GJ,Amreli,,,,,399,3792,,,,,,,,,,,,,5473,39398,,,,,02/02/2021,,,1513614,10810,102,10708,212265,927389,551970,0,,,,,,,,,
GJ,Anand,,,,,4876,2866,,,,,,,,,6,,1,,33012,46764,6,,,,02/02/2021,,,2090276,9637,49,9581,171851,1471865,935893,6,,,,,,,,,
GJ,Aravalli,,,,,2,106,,,,,,,,,,,,,1439,32201,,,,,02/02/2021,,,1051746,5186,78,5108,122182,717964,522361,0,,,,,,,,,
GJ,Banaskantha,,,,,390,3521,,,,,,,,,,,,,16080,82985,,,,,02/02/2021,,,3116045,13631,162,13469,218527,2140492,1157901,0,,,,,,,,,
GJ,Bharuch,,,,,1539,2936,,,,,,,,,,,,,21270,45926,,,,,02/02/2021,,,1550822,11426,118,11308,156057,1217587,669742,0,,,,,,,,,
GJ,Bhavnagar,1,,,,359,1470,1,3,,,,,,3,1,,,,19467,81374,1,,,,02/02/2021,,,2877961,21447,301,21143,392834,1680398,986097,5,,,,,,,,,
GJ,Botad,,,,,13,235,,,,,,,,,,,,,929,14235,,,,,02/02/2021,,,656005,2218,42,2176,98559,378232,228691,0,,,,,,,,,
